155907	"Confira a matéria que foi ao ar nesta segunda-feira, 28, no ""CQC:"	PT-BR
155413	"O projeto será apresentado pelo presidente em reunião com os nove governadores da Amazônia Legal. Lula chamou os governadores para alcançar um objetivo especial: acalmar o governador de Mato Grosso, Blairo Maggi (PR), descontente com o veto ao plantio."	PT-BR
173135	"As nomeações terminam às 12 horas do próximo domingo, 15 de Janeiro. Até lá, pode continuar a nomear, quantas vezes quiser, enviando as propostas para o sms 68977."	PT-BR
156093	"“Um programa imperdível para quem vai a Porto Alegre é assistir ao pôr do sol na Usina do Gasômetro, junto ao Rio Guaíba. É de graça e lindo”"	PT-BR
173776	"A quebra na venda de casas surge numa altura em que os proprietários do sector enfrentam o cenário de um novo imposto de propriedade, aprovado em Dezembro, e que deve contribuir com cerca de 21 mil milhões de euros para os cofres do Estado italiano. O chamado IMU deve começar a ser pago este mês."	PT-PT
174093	"A Portugal Telecom (PT) perdeu o recurso contra a decisão do Júri de Ética do Instituto Civil da Autodisciplina da Comunicação Comercial (ICAP), que tinha decidido a cessação imediata da campanha publicitária ""Meo Líder 3P""."	PT-PT
172417	"O grupo de jamantas que pode ser encontrado nas águas dos Açores tem potencial para aproveitamento em ecoturismo, já que este é um dos poucos locais do mundo com agregações destes animais que possam ser vistas por turistas."	PT-BR
174442	O Bloco de Esquerda (BE) considera que a reintrodução do pagamento de portagens na ponte 25 de Abril durante o mês de agosto “é mais um sacrifício imposto a quem menos tem”.	PT-PT
155703	"O ""Daily Telegraph"" não identificou sua fonte e não disse se algum dos números foi efetivamente hackeado. O ""News of the World"" emitiu um comunicado dizendo estar ""absolutamente chocado e aterrorizado"" se houver qualquer verdade na alegação."	PT-BR
156173	"O presidente apresentou informações sobre aspectos econômicos das oito regiões geoelétricas do Estado e mostrou o planejamento dos investimentos da Celesc no setor elétrico até 2015. Para a regional de Chapecó serão destinados R$ 67,1 milhões. ""Não há crescimento sem suporte energético. O debate sobre nosso plano de investimentos vai permitir que se alinhe os investimentos concebidos com base técnica aos anseios da sociedade"", completou."	PT-BR
156056	"Só que, independentemente de qual equipe irá defender, Diego acredita que os alemães podem abaixar um pouco o valor, a fim de resolver a sua situação o mais rápido possível."	PT-BR
172887	"4. Rui Silva (Portugal), 1:02.40."	PT
156761	"Serão três dias de (re)descoberta do património e das paisagens urbanas de Portimão, no âmbito desta iniciativa internacional, com várias atividades que convidam pessoas de todas as idades a um maior conhecimento e valorização do património e memórias da cidade."	PT-BR
156793	"Os subscritores falam numa “ameaça de perda de soberania” e admitem que os portugueses têm razão para não confiar no futuro. O “Manifesto: Instaurar a Democracia, Restaurar a Monarquia” visa combater o enfraquecimento das “estruturas democráticas, a visível delapidação dos valores morais na política”, o estado “caótico” da Justiça e a “aparente dependência das mais diversas forças de influência”."	PT-BR
155605	"O seminário internacional ""Crise - Rumos e Verdades"" terá início neste domingo (7), no Canal da Música, a partir das 19h30, iniciando os debates sobre os impactos da crise financeira na economia mundial e no Brasil."	PT-BR
174818	"Dede a localidade de São Bartolomeu do Sul até às Furnazinhas, os acordeonistas João e Miguel Pereira vão redescobrir a magia e gosto dos antigos tocadores que encantaram sucessivas gerações com músicas que, na actualidade, continuam a fazer as delícias de novos e menos novos, dançando as modinhas que, melodicamente, se soltam das teclas do acordeão."	PT-PT
154901	"Ela disse ainda que grande parte das empregadas domésticas tem direitos legalmente reconhecidos, como a Carteira de Trabalho assinada e o Fundo de Garantia do Tempo de Serviço (FGTS), mas que na prática eles ainda não são considerados."	PT-BR
156068	"Após o Ano do Tigre, o Ano do Coelho começará nesta quinta-feira (3) com previsões positivas e inspiradoras. O período favorecerá a família e o crescimento pessoal, assim como a celebração de grandes acontecimentos."	PT
173415	O programa desta ação incluiu a observação de aves aquáticas e uma visita ao Festival Internacional de Jardins.	PT
174683	"O primeiro Concurso Nacional Aromas e Sabores com Figo-da-Índia, numa iniciativa da Cooperativa Agrícola de Rega do Pessegueiro Coopêssego, com o apoio da Câmara Municipal de Alcoutim, vai realizar-se na aldeia de Martim Longo no dia 4 de setembro."	PT-PT
174744	"Este fenómeno revela um grave crescimento do desemprego de muito longa duração, tanto mais preocupante quanto a maioria dos trabalhadores nesta situação não tem direito a subsídio de desemprego."	PT-PT
156564	"Apesar do ocorrido, a noite e a madrugada foram tranqüilas nos aeroportos de Congonhas e Cumbica, com poucos atrasos nos vôos e sem registro de filas nos balcões das companhias aéreas."	PT-BR
172524	"Também não há transportes fluviais para Lisboa, temos adesões de praticamente 100% na Lisnave, com os empreiteiros, subempreiteiros, pelo que a produção está completamente paralisada, reforçou o sindicalista da USS."	PT-BR
155018	"Vários desafios na questão do ensino superior unem os países subdesenvolvidos e os desenvolvidos. Entre os principais é associar qualidade e pertinência, há uma tendência em se homogeneizar os procedimentos, não apenas os pedagógicos, mas também de credenciamento"	PT-BR
156745	"O objetivo da Tutela passa por reprivatizar a empresa - nacionalizada há 37 anos a pedido dos trabalhadores e da própria administração -, nos próximos quatro meses."	PT-BR
